663,153,681,153,681,212,663,212
685,173,705,173,705,212,685,212
420,202,440,202,440,243,420,243
127,347,199,347,199,451,127,451
151,371,171,370,174,425,154,426
363,533,382,533,382,590,363,590
82,541,126,541,126,659,82,659
106,564,126,564,126,627,106,627
680,563,747,563,747,583,680,583
429,566,471,566,471,586,429,586
683,583,748,580,752,682,687,685
433,586,471,586,471,605,433,605
427,606,447,606,447,683,427,683
681,602,701,603,698,644,678,643
334,789,376,789,376,809,334,809
676,790,694,788,697,826,679,827
151,804,173,804,173,864,151,864
131,808,148,808,148,822,131,822
336,813,372,813,372,828,336,828
127,822,149,822,149,904,127,904
607,820,629,821,625,920,603,919
332,829,352,829,352,866,332,866
632,831,652,832,649,900,629,899
210,868,230,868,230,906,210,906
