363,69,414,69,414,244,363,244
76,137,146,137,146,277,76,277
711,142,747,133,765,203,728,212
102,157,144,157,144,177,102,177
102,177,120,177,120,255,102,255
736,477,764,477,764,511,736,511
76,460,121,462,117,566,72,564
122,464,142,464,142,522,122,522
297,462,371,462,371,546,297,546
98,482,118,482,118,561,98,561
299,484,321,484,321,563,299,563
681,576,762,580,752,764,672,760
162,855,182,855,182,994,162,994
186,857,208,857,208,1012,186,1012
691,864,711,864,711,1003,691,1003
665,866,687,866,687,1023,665,1023
87,884,109,884,106,1042,84,1041
279,884,297,884,297,917,279,917
109,886,131,886,131,1025,109,1025
261,893,279,893,279,974,261,974
