226,47,254,47,254,127,226,127
98,54,124,54,124,171,98,171
126,54,151,54,151,193,126,193
153,56,179,56,179,217,153,217
685,60,762,60,762,162,685,162
714,294,734,294,734,446,714,446
740,294,764,294,764,427,740,427
765,294,787,294,787,402,765,402
117,297,151,297,151,429,117,429
157,299,190,299,190,365,157,365
137,552,201,552,201,661,137,661
337,557,381,556,384,636,340,637
159,574,177,574,177,658,159,658
762,583,786,583,786,658,762,658
731,585,758,585,758,711,731,711
440,625,530,625,530,723,440,723
440,643,504,643,504,740,440,740
102,683,124,683,124,780,102,780
126,685,146,685,146,802,126,802
437,803,478,806,468,938,427,934
